縣市,行政區別,鄰里,區域別代碼,總統候選人1,總統候選人1_得票數,總統候選人2,總統候選人2_得票數,總統候選人3,總統候選人3_得票數,總統候選人4,總統候選人4_得票數,總統候選人5,總統候選人5_得票數,總統候選人6,總統候選人6_得票數,總統候選人7,總統候選人7_得票數,總統候選人8,總統候選人8_得票數,總統候選人9,總統候選人9_得票數,總統候選人10,總統候選人10_得票數,總統候選人有效票數A,總統候選人無效票數B,總統候選人投票數C,總統候選人選舉人數G,區域立委候選人1＿候選人名稱,區域立委候選人1＿黨籍,區域立委候選人1_得票數,區域立委候選人2＿候選人名稱,區域立委候選人2＿黨籍,區域立委候選人2_得票數,區域立委候選人3＿候選人名稱,區域立委候選人3＿黨籍,區域立委候選人3_得票數,區域立委候選人4＿候選人名稱,區域立委候選人4＿黨籍,區域立委候選人4_得票數,區域立委候選人5＿候選人名稱,區域立委候選人5＿黨籍,區域立委候選人5_得票數,區域立委候選人6＿候選人名稱,區域立委候選人6＿黨籍,區域立委候選人6_得票數,區域立委候選人7＿候選人名稱,區域立委候選人7＿黨籍,區域立委候選人7_得票數,區域立委候選人8＿候選人名稱,區域立委候選人8＿黨籍,區域立委候選人8_得票數,區域立委候選人9＿候選人名稱,區域立委候選人9＿黨籍,區域立委候選人9_得票數,區域立委候選人10＿候選人名稱,區域立委候選人10＿黨籍,區域立委候選人10_得票數,區域立委有效票數A,區域立委無效票數B,區域立委投票數C,區域立委選舉人數G,"不分區政黨(1)

民主進步黨","不分區政黨(2)

親民黨","不分區政黨(3)

自由台灣黨","不分區政黨(4)

和平鴿聯盟黨","不分區政黨(5)

軍公教聯盟黨","不分區政黨(6)

民國黨","不分區政黨(7)

信心希望聯盟","不分區政黨(8)

中華統一促進黨","不分區政黨(9)

中國國民黨","不分區政黨(10)

台灣團結聯盟","不分區政黨(11)

時代力量","不分區政黨(12)

大愛憲改聯盟","不分區政黨(13)

綠黨社會民主黨聯盟","不分區政黨(14)

台灣獨立黨","不分區政黨(15)

無黨團結聯盟","不分區政黨(16)

新黨","不分區政黨(17)

健保免費連線","不分區政黨(18)

樹黨",不分區政黨有效票數A,不分區政黨無效票數B,不分區政黨投票數C,不分區政黨選舉人數G
花蓮縣,光復鄉,北富村,10015070014,朱立倫/王如玄,305,蔡英文/陳建仁,72,宋楚瑜/徐欣瑩,86,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,1,蕭美琴,民主進步黨,32,楊悟空,無黨籍,1,王廷升,中國國民黨,47,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,41,40,2,6,2,6,1,1,280,4,42,1,11,1,0,7,0,0,0,0,0,0
花蓮縣,光復鄉,南富村,10015070013,朱立倫/王如玄,263,蔡英文/陳建仁,102,宋楚瑜/徐欣瑩,98,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,1,蕭美琴,民主進步黨,37,楊悟空,無黨籍,1,王廷升,中國國民黨,19,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,77,31,4,4,3,15,10,1,258,2,42,1,5,1,0,3,1,0,0,0,0,0
花蓮縣,光復鄉,大全村,10015070007,朱立倫/王如玄,202,蔡英文/陳建仁,150,宋楚瑜/徐欣瑩,65,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,6,蕭美琴,民主進步黨,141,楊悟空,無黨籍,3,王廷升,中國國民黨,140,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,109,35,4,4,5,4,4,2,190,11,13,0,8,1,1,11,0,3,0,0,0,0
花蓮縣,光復鄉,大同村,10015070005,朱立倫/王如玄,303,蔡英文/陳建仁,206,宋楚瑜/徐欣瑩,72,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,4,蕭美琴,民主進步黨,190,楊悟空,無黨籍,2,王廷升,中國國民黨,182,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,156,34,2,3,4,8,7,0,271,8,36,2,8,0,0,28,1,1,0,0,0,0
花蓮縣,光復鄉,大安村,10015070001,朱立倫/王如玄,233,蔡英文/陳建仁,218,宋楚瑜/徐欣瑩,71,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,6,蕭美琴,民主進步黨,248,楊悟空,無黨籍,2,王廷升,中國國民黨,229,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,162,26,4,4,8,3,10,2,225,13,22,0,8,0,7,20,0,2,0,0,0,0
花蓮縣,光復鄉,大富村,10015070009,朱立倫/王如玄,83,蔡英文/陳建仁,76,宋楚瑜/徐欣瑩,18,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,5,蕭美琴,民主進步黨,80,楊悟空,無黨籍,0,王廷升,中國國民黨,72,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,65,11,0,1,2,0,2,0,73,5,3,0,2,1,0,10,1,0,0,0,0,0
花蓮縣,光復鄉,大平村,10015070003,朱立倫/王如玄,280,蔡英文/陳建仁,133,宋楚瑜/徐欣瑩,89,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,6,蕭美琴,民主進步黨,74,楊悟空,無黨籍,1,王廷升,中國國民黨,65,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,85,27,3,3,2,15,30,5,231,8,53,1,2,0,2,6,6,2,0,0,0,0
花蓮縣,光復鄉,大興村,10015070008,朱立倫/王如玄,131,蔡英文/陳建仁,82,宋楚瑜/徐欣瑩,41,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,1,蕭美琴,民主進步黨,65,楊悟空,無黨籍,4,王廷升,中國國民黨,62,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,53,22,1,0,1,1,4,3,121,2,19,0,6,1,0,7,0,1,0,0,0,0
花蓮縣,光復鄉,大華村,10015070002,朱立倫/王如玄,343,蔡英文/陳建仁,298,宋楚瑜/徐欣瑩,93,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,7,蕭美琴,民主進步黨,304,楊悟空,無黨籍,3,王廷升,中國國民黨,228,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,224,42,2,1,4,10,12,5,301,12,49,0,10,1,3,30,1,5,0,0,0,0
花蓮縣,光復鄉,大豐村,10015070010,朱立倫/王如玄,132,蔡英文/陳建仁,103,宋楚瑜/徐欣瑩,18,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,4,蕭美琴,民主進步黨,114,楊悟空,無黨籍,1,王廷升,中國國民黨,113,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,87,6,1,2,2,2,1,0,125,6,10,1,2,0,0,3,0,0,0,0,0,0
花蓮縣,光復鄉,大進村,10015070006,朱立倫/王如玄,161,蔡英文/陳建仁,76,宋楚瑜/徐欣瑩,24,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,3,蕭美琴,民主進步黨,90,楊悟空,無黨籍,3,王廷升,中國國民黨,116,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,59,14,0,1,0,3,6,0,148,3,7,0,4,0,0,5,1,2,0,0,0,0
花蓮縣,光復鄉,大馬村,10015070004,朱立倫/王如玄,294,蔡英文/陳建仁,123,宋楚瑜/徐欣瑩,119,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,8,蕭美琴,民主進步黨,85,楊悟空,無黨籍,1,王廷升,中國國民黨,85,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,91,45,2,6,2,10,24,10,232,4,72,1,6,0,1,7,5,2,0,0,0,0
花蓮縣,光復鄉,東富村,10015070011,朱立倫/王如玄,338,蔡英文/陳建仁,73,宋楚瑜/徐欣瑩,104,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,1,蕭美琴,民主進步黨,34,楊悟空,無黨籍,2,王廷升,中國國民黨,36,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,37,44,7,6,2,10,6,2,303,4,60,0,1,2,0,3,2,0,0,0,0,0
花蓮縣,光復鄉,西富村,10015070012,朱立倫/王如玄,286,蔡英文/陳建仁,114,宋楚瑜/徐欣瑩,84,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,4,蕭美琴,民主進步黨,78,楊悟空,無黨籍,1,王廷升,中國國民黨,58,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,71,33,5,3,4,7,8,1,258,11,47,1,5,2,0,11,3,1,0,0,0,0
花蓮縣,卓溪鄉,卓清村,10015130005,朱立倫/王如玄,292,蔡英文/陳建仁,51,宋楚瑜/徐欣瑩,88,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,1,蕭美琴,民主進步黨,10,楊悟空,無黨籍,0,王廷升,中國國民黨,22,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,32,39,1,0,6,10,21,0,276,3,6,0,1,2,5,4,1,1,0,0,0,0
花蓮縣,卓溪鄉,卓溪村,10015130004,朱立倫/王如玄,223,蔡英文/陳建仁,52,宋楚瑜/徐欣瑩,61,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,0,蕭美琴,民主進步黨,13,楊悟空,無黨籍,0,王廷升,中國國民黨,21,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,34,24,1,1,1,6,14,2,218,2,7,0,4,1,3,5,0,1,0,0,0,0
花蓮縣,卓溪鄉,古風村,10015130006,朱立倫/王如玄,349,蔡英文/陳建仁,71,宋楚瑜/徐欣瑩,68,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,1,蕭美琴,民主進步黨,12,楊悟空,無黨籍,0,王廷升,中國國民黨,18,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,44,27,0,2,4,14,19,2,360,3,4,0,0,0,1,2,0,0,0,0,0,0
花蓮縣,卓溪鄉,太平村,10015130003,朱立倫/王如玄,273,蔡英文/陳建仁,46,宋楚瑜/徐欣瑩,60,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,1,蕭美琴,民主進步黨,4,楊悟空,無黨籍,0,王廷升,中國國民黨,6,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,17,25,0,1,1,7,22,0,275,2,7,0,4,0,1,3,1,1,0,0,0,0
花蓮縣,卓溪鄉,崙山村,10015130001,朱立倫/王如玄,179,蔡英文/陳建仁,27,宋楚瑜/徐欣瑩,57,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,0,蕭美琴,民主進步黨,1,楊悟空,無黨籍,0,王廷升,中國國民黨,7,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,10,20,0,0,4,8,10,0,190,1,3,0,3,1,2,1,4,0,0,0,0,0
花蓮縣,卓溪鄉,立山村,10015130002,朱立倫/王如玄,317,蔡英文/陳建仁,91,宋楚瑜/徐欣瑩,51,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,1,蕭美琴,民主進步黨,2,楊悟空,無黨籍,0,王廷升,中國國民黨,8,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,61,18,1,2,0,7,28,1,302,7,7,0,1,1,1,7,3,0,0,0,0,0
花蓮縣,吉安鄉,仁和村,10015050017,朱立倫/王如玄,1022,蔡英文/陳建仁,924,宋楚瑜/徐欣瑩,444,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,36,蕭美琴,民主進步黨,1074,楊悟空,無黨籍,17,王廷升,中國國民黨,796,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,725,216,10,3,24,39,74,12,984,25,95,1,43,11,7,71,10,13,0,0,0,0
花蓮縣,吉安鄉,仁安村,10015050016,朱立倫/王如玄,458,蔡英文/陳建仁,457,宋楚瑜/徐欣瑩,200,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,17,蕭美琴,民主進步黨,524,楊悟空,無黨籍,8,王廷升,中國國民黨,332,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,347,101,4,1,10,11,38,4,428,20,56,2,25,3,5,33,3,3,0,0,0,0
花蓮縣,吉安鄉,仁里村,10015050014,朱立倫/王如玄,1738,蔡英文/陳建仁,1336,宋楚瑜/徐欣瑩,520,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,51,蕭美琴,民主進步黨,1628,楊悟空,無黨籍,30,王廷升,中國國民黨,1334,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,1027,265,7,10,40,50,86,26,1595,35,150,0,92,3,5,152,9,13,0,0,0,0
花蓮縣,吉安鄉,光華村,10015050018,朱立倫/王如玄,517,蔡英文/陳建仁,282,宋楚瑜/徐欣瑩,201,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,黄師鵬,無黨籍,17,蕭美琴,民主進步黨,348,楊悟空,無黨籍,28,王廷升,中國國民黨,391,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,195,119,4,2,11,15,30,20,471,14,32,3,12,1,0,45,5,4,0,0,0,0
