省市代碼,縣市代碼,選區代碼,鄉鎮市區代碼,村里代碼,tbox_no,候選人號次,得票數,得票率,當選註記,ris_prv_code,ris_city_code,ris_area_code,ris_dept_code,區域名稱,cand_id,候選人姓名,性別,出生年,學歷,party_code,政黨,現任,副手,選舉年份,資料層級,當選
01,000,00,000,0000,0000,1,634565,39.54, ,63,000,00,000,臺北市,8065,蔡英文,女,1956,博士,16,民主進步黨,否,否,2012,C,否
01,000,00,000,0000,0000,1,634565,39.54,,63,000,00,000,臺北市,8066,蘇嘉全,男,1956,碩士,16,民主進步黨,否,是,2012,C,否
01,000,00,000,0000,0000,2,928717,57.87,*,63,000,00,000,臺北市,8067,馬英九,男,1950,博士,1,中國國民黨,是,否,2012,C,是
01,000,00,000,0000,0000,2,928717,57.87,,63,000,00,000,臺北市,8068,吳敦義,男,1948,大學,1,中國國民黨,否,是,2012,C,否
01,000,00,000,0000,0000,3,41448,2.58, ,63,000,00,000,臺北市,8069,宋楚瑜,男,1942,博士,999,無黨籍及未經政黨推薦,否,否,2012,C,否
01,000,00,000,0000,0000,3,41448,2.58,,63,000,00,000,臺北市,8070,林瑞雄,男,1940,博士,999,無黨籍及未經政黨推薦,否,是,2012,C,否
02,000,00,000,0000,0000,1,1007551,43.45, ,65,000,00,000,新北市,8065,蔡英文,女,1956,博士,16,民主進步黨,否,否,2012,C,否
02,000,00,000,0000,0000,1,1007551,43.45,,65,000,00,000,新北市,8066,蘇嘉全,男,1956,碩士,16,民主進步黨,否,是,2012,C,否
02,000,00,000,0000,0000,2,1245673,53.72,*,65,000,00,000,新北市,8067,馬英九,男,1950,博士,1,中國國民黨,是,否,2012,C,是
02,000,00,000,0000,0000,2,1245673,53.72,,65,000,00,000,新北市,8068,吳敦義,男,1948,大學,1,中國國民黨,否,是,2012,C,否
02,000,00,000,0000,0000,3,65269,2.81, ,65,000,00,000,新北市,8069,宋楚瑜,男,1942,博士,999,無黨籍及未經政黨推薦,否,否,2012,C,否
02,000,00,000,0000,0000,3,65269,2.81,,65,000,00,000,新北市,8070,林瑞雄,男,1940,博士,999,無黨籍及未經政黨推薦,否,是,2012,C,否
03,000,00,000,0000,0000,1,678736,44.68, ,66,000,00,000,臺中市,8065,蔡英文,女,1956,博士,16,民主進步黨,否,否,2012,C,否
03,000,00,000,0000,0000,1,678736,44.68,,66,000,00,000,臺中市,8066,蘇嘉全,男,1956,碩士,16,民主進步黨,否,是,2012,C,否
03,000,00,000,0000,0000,2,792334,52.15,*,66,000,00,000,臺中市,8067,馬英九,男,1950,博士,1,中國國民黨,是,否,2012,C,是
03,000,00,000,0000,0000,2,792334,52.15,,66,000,00,000,臺中市,8068,吳敦義,男,1948,大學,1,中國國民黨,否,是,2012,C,否
03,000,00,000,0000,0000,3,48030,3.16, ,66,000,00,000,臺中市,8069,宋楚瑜,男,1942,博士,999,無黨籍及未經政黨推薦,否,否,2012,C,否
03,000,00,000,0000,0000,3,48030,3.16,,66,000,00,000,臺中市,8070,林瑞雄,男,1940,博士,999,無黨籍及未經政黨推薦,否,是,2012,C,否
04,000,00,000,0000,0000,1,631232,57.72, ,67,000,00,000,臺南市,8065,蔡英文,女,1956,博士,16,民主進步黨,否,否,2012,C,否
04,000,00,000,0000,0000,1,631232,57.72,,67,000,00,000,臺南市,8066,蘇嘉全,男,1956,碩士,16,民主進步黨,否,是,2012,C,否
04,000,00,000,0000,0000,2,435274,39.8,*,67,000,00,000,臺南市,8067,馬英九,男,1950,博士,1,中國國民黨,是,否,2012,C,是
04,000,00,000,0000,0000,2,435274,39.8,,67,000,00,000,臺南市,8068,吳敦義,男,1948,大學,1,中國國民黨,否,是,2012,C,否
04,000,00,000,0000,0000,3,27066,2.47, ,67,000,00,000,臺南市,8069,宋楚瑜,男,1942,博士,999,無黨籍及未經政黨推薦,否,否,2012,C,否
04,000,00,000,0000,0000,3,27066,2.47,,67,000,00,000,臺南市,8070,林瑞雄,男,1940,博士,999,無黨籍及未經政黨推薦,否,是,2012,C,否
05,000,00,000,0000,0000,1,883158,53.42, ,64,000,00,000,高雄市,8065,蔡英文,女,1956,博士,16,民主進步黨,否,否,2012,C,否
05,000,00,000,0000,0000,1,883158,53.42,,64,000,00,000,高雄市,8066,蘇嘉全,男,1956,碩士,16,民主進步黨,否,是,2012,C,否
05,000,00,000,0000,0000,2,730461,44.18,*,64,000,00,000,高雄市,8067,馬英九,男,1950,博士,1,中國國民黨,是,否,2012,C,是
05,000,00,000,0000,0000,2,730461,44.18,,64,000,00,000,高雄市,8068,吳敦義,男,1948,大學,1,中國國民黨,否,是,2012,C,否
05,000,00,000,0000,0000,3,39469,2.38, ,64,000,00,000,高雄市,8069,宋楚瑜,男,1942,博士,999,無黨籍及未經政黨推薦,否,否,2012,C,否
05,000,00,000,0000,0000,3,39469,2.38,,64,000,00,000,高雄市,8070,林瑞雄,男,1940,博士,999,無黨籍及未經政黨推薦,否,是,2012,C,否
06,001,00,000,0000,0000,1,135156,52.52, ,10,002,00,000,宜蘭縣,8065,蔡英文,女,1956,博士,16,民主進步黨,否,否,2012,C,否
06,001,00,000,0000,0000,1,135156,52.52,,10,002,00,000,宜蘭縣,8066,蘇嘉全,男,1956,碩士,16,民主進步黨,否,是,2012,C,否
06,001,00,000,0000,0000,2,115496,44.88,*,10,002,00,000,宜蘭縣,8067,馬英九,男,1950,博士,1,中國國民黨,是,否,2012,C,是
06,001,00,000,0000,0000,2,115496,44.88,,10,002,00,000,宜蘭縣,8068,吳敦義,男,1948,大學,1,中國國民黨,否,是,2012,C,否
06,001,00,000,0000,0000,3,6652,2.58, ,10,002,00,000,宜蘭縣,8069,宋楚瑜,男,1942,博士,999,無黨籍及未經政黨推薦,否,否,2012,C,否
06,001,00,000,0000,0000,3,6652,2.58,,10,002,00,000,宜蘭縣,8070,林瑞雄,男,1940,博士,999,無黨籍及未經政黨推薦,否,是,2012,C,否
06,002,00,000,0000,0000,1,445308,39.85, ,10,003,00,000,桃園縣,8065,蔡英文,女,1956,博士,16,民主進步黨,否,否,2012,C,否
06,002,00,000,0000,0000,1,445308,39.85,,10,003,00,000,桃園縣,8066,蘇嘉全,男,1956,碩士,16,民主進步黨,否,是,2012,C,否
06,002,00,000,0000,0000,2,639151,57.2,*,10,003,00,000,桃園縣,8067,馬英九,男,1950,博士,1,中國國民黨,是,否,2012,C,是
06,002,00,000,0000,0000,2,639151,57.2,,10,003,00,000,桃園縣,8068,吳敦義,男,1948,大學,1,中國國民黨,否,是,2012,C,否
06,002,00,000,0000,0000,3,32927,2.94, ,10,003,00,000,桃園縣,8069,宋楚瑜,男,1942,博士,999,無黨籍及未經政黨推薦,否,否,2012,C,否
06,002,00,000,0000,0000,3,32927,2.94,,10,003,00,000,桃園縣,8070,林瑞雄,男,1940,博士,999,無黨籍及未經政黨推薦,否,是,2012,C,否
06,003,00,000,0000,0000,1,89741,30.93, ,10,004,00,000,新竹縣,8065,蔡英文,女,1956,博士,16,民主進步黨,否,否,2012,C,否
06,003,00,000,0000,0000,1,89741,30.93,,10,004,00,000,新竹縣,8066,蘇嘉全,男,1956,碩士,16,民主進步黨,否,是,2012,C,否
06,003,00,000,0000,0000,2,190797,65.76,*,10,004,00,000,新竹縣,8067,馬英九,男,1950,博士,1,中國國民黨,是,否,2012,C,是
06,003,00,000,0000,0000,2,190797,65.76,,10,004,00,000,新竹縣,8068,吳敦義,男,1948,大學,1,中國國民黨,否,是,2012,C,否
06,003,00,000,0000,0000,3,9599,3.3, ,10,004,00,000,新竹縣,8069,宋楚瑜,男,1942,博士,999,無黨籍及未經政黨推薦,否,否,2012,C,否
06,003,00,000,0000,0000,3,9599,3.3,,10,004,00,000,新竹縣,8070,林瑞雄,男,1940,博士,999,無黨籍及未經政黨推薦,否,是,2012,C,否
06,004,00,000,0000,0000,1,107164,33.18, ,10,005,00,000,苗栗縣,8065,蔡英文,女,1956,博士,16,民主進步黨,否,否,2012,C,否
06,004,00,000,0000,0000,1,107164,33.18,,10,005,00,000,苗栗縣,8066,蘇嘉全,男,1956,碩士,16,民主進步黨,否,是,2012,C,否
06,004,00,000,0000,0000,2,206200,63.84,*,10,005,00,000,苗栗縣,8067,馬英九,男,1950,博士,1,中國國民黨,是,否,2012,C,是
06,004,00,000,0000,0000,2,206200,63.84,,10,005,00,000,苗栗縣,8068,吳敦義,男,1948,大學,1,中國國民黨,否,是,2012,C,否
