'10,'004,'01,'000,'0000,1,葉芳棟,'999,'1,'0581101,45,台北市,專科,N, , .1,year,election_type,election_folder,'63,'000.1,陳汝斌,'210,'0260902,77,台中市,高中,楊敬賜,'1.1,'0420525,61,臺灣省,碩士,*,謝維洲,'16,'0720505,31,新北市,大學,'00,楊文科,'0400322,67,吳蕚洋,'0490815,58,臺中市,葉芬英,'2,'0520730,55,Y,王芝安,'199,'0611008,46,臺北市
'10,'004,'01,'000,'0000,2,邱鏡淳,'1,'1,'0381208,64.0,臺灣省,碩士,Y,*, ,2014,市長,縣市市長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'10,'004,'01,'000,'0000,3,鄭永金,'999,'1,'0381008,65.0,臺灣省,碩士,N, , ,2014,市長,縣市市長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'10,'004,'01,'000,'0000,4,莊作兵,'999,'1,'0220615,81.0,臺灣省,高中,N, , ,2014,市長,縣市市長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'10,'005,'01,'000,'0000,1,徐耀昌,'1,'1,'0440630,59.0,臺灣省,碩士,N,*, ,2014,市長,縣市市長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'10,'005,'01,'000,'0000,2,康世儒,'999,'1,'0530116,50.0,臺灣省,專科,N, , ,2014,市長,縣市市長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'10,'005,'01,'000,'0000,3,江明修,'999,'1,'0480322,55.0,臺灣省,博士,N, , ,2014,市長,縣市市長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'10,'005,'01,'000,'0000,4,陳淑芬,'999,'2,'0491102,54.0,臺灣省,大學,N, , ,2014,市長,縣市市長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'10,'005,'01,'000,'0000,5,曾國良,'999,'1,'0511025,52.0,臺灣省,碩士,N, , ,2014,市長,縣市市長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'10,'005,'01,'000,'0000,6,吳宜臻,'16,'2,'0590423,44.0,新北市,碩士,N, , ,2014,市長,縣市市長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'10,'007,'01,'000,'0000,1,黃文玲,'999,'2,'0580811,45.0,台北市,碩士,N, , ,2014,市長,縣市市長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
