縣市,行政區別,鄰里,區域別代碼,總統候選人1,總統候選人1_得票數,總統候選人2,總統候選人2_得票數,總統候選人3,總統候選人3_得票數,總統候選人4,總統候選人4_得票數,總統候選人5,總統候選人5_得票數,總統候選人6,總統候選人6_得票數,總統候選人7,總統候選人7_得票數,總統候選人8,總統候選人8_得票數,總統候選人9,總統候選人9_得票數,總統候選人10,總統候選人10_得票數,總統候選人有效票數A,總統候選人無效票數B,總統候選人投票數C,總統候選人選舉人數G,平原立委候選人1＿候選人名稱,平原立委候選人1＿黨籍,平原立委候選人1_得票數,平原立委候選人2＿候選人名稱,平原立委候選人2＿黨籍,平原立委候選人2_得票數,平原立委候選人3＿候選人名稱,平原立委候選人3＿黨籍,平原立委候選人3_得票數,平原立委候選人4＿候選人名稱,平原立委候選人4＿黨籍,平原立委候選人4_得票數,平原立委候選人5＿候選人名稱,平原立委候選人5＿黨籍,平原立委候選人5_得票數,平原立委候選人6＿候選人名稱,平原立委候選人6＿黨籍,平原立委候選人6_得票數,平原立委候選人7＿候選人名稱,平原立委候選人7＿黨籍,平原立委候選人7_得票數,平原立委候選人8＿候選人名稱,平原立委候選人8＿黨籍,平原立委候選人8_得票數,平原立委候選人9＿候選人名稱,平原立委候選人9＿黨籍,平原立委候選人9_得票數,平原立委候選人10＿候選人名稱,平原立委候選人10＿黨籍,平原立委候選人10_得票數,平原立委有效票數A,平原立委無效票數B,平原立委投票數C,平原立委選舉人數G,山原立委候選人1＿候選人名稱,山原立委候選人1＿黨籍,山原立委候選人1_得票數,山原立委候選人2＿候選人名稱,山原立委候選人2＿黨籍,山原立委候選人2_得票數,山原立委候選人3＿候選人名稱,山原立委候選人3＿黨籍,山原立委候選人3_得票數,山原立委候選人4＿候選人名稱,山原立委候選人4＿黨籍,山原立委候選人4_得票數,山原立委候選人5＿候選人名稱,山原立委候選人5＿黨籍,山原立委候選人5_得票數,山原立委候選人6＿候選人名稱,山原立委候選人6＿黨籍,山原立委候選人6_得票數,山原立委候選人7＿候選人名稱,山原立委候選人7＿黨籍,山原立委候選人7_得票數,山原立委候選人8＿候選人名稱,山原立委候選人8＿黨籍,山原立委候選人8_得票數,山原立委候選人9＿候選人名稱,山原立委候選人9＿黨籍,山原立委候選人9_得票數,山原立委候選人10＿候選人名稱,山原立委候選人10＿黨籍,山原立委候選人10_得票數,山原立委有效票數A,山原立委無效票數B,山原立委投票數C,山原立委選舉人數G,"不分區政黨(1)

小民參政歐巴桑聯盟","不分區政黨(2)

台灣綠黨","不分區政黨(3)

臺灣雙語無法黨","不分區政黨(4)

台灣基進","不分區政黨(5)

中華統一促進黨","不分區政黨(6)

民主進步黨","不分區政黨(7)

制度救世島","不分區政黨(8)

時代力量","不分區政黨(9)

中國國民黨","不分區政黨(10)

司法改革黨","不分區政黨(11)

新黨","不分區政黨(12)

台灣民眾黨","不分區政黨(13)

台灣維新","不分區政黨(14)

親民黨","不分區政黨(15)

人民最大黨","不分區政黨(16)

台灣團結聯盟",不分區政黨有效票數A,不分區政黨無效票數B,不分區政黨投票數C,不分區政黨選舉人數G
臺北市,中山區,下埤里,0400027,柯文哲/吳欣盈,1075,賴清德/蕭美琴,2011,侯友宜/趙少康,1636,,0,,0,,0,,0,,0,,0,,0,544,978,5,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,544,0,0,7,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,544,0,0,5,40,32,10,24,2,1796,4,129,1607,6,12,988,1,22,6,8,0,4687,53,83
臺北市,中山區,中原里,0400031,柯文哲/吳欣盈,606,賴清德/蕭美琴,1423,侯友宜/趙少康,1064,,0,,0,,0,,0,,0,,0,,0,563,771,12,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,563,0,0,7,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,563,0,0,5,28,24,9,16,1,1267,3,76,1020,14,12,578,2,18,0,4,0,3072,37,83
臺北市,中山區,中吉里,0400030,柯文哲/吳欣盈,796,賴清德/蕭美琴,1543,侯友宜/趙少康,1072,,0,,0,,0,,0,,0,,0,,0,559,857,0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,559,0,0,7,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,559,0,0,5,36,21,4,19,3,1372,5,83,1019,8,7,795,2,18,1,2,0,3395,23,83
臺北市,中山區,中央里,0400033,柯文哲/吳欣盈,518,賴清德/蕭美琴,958,侯友宜/趙少康,790,,0,,0,,0,,0,,0,,0,,0,571,727,5,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,571,5,0,7,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,571,2,0,5,25,15,2,9,2,842,0,58,747,8,6,518,1,11,3,1,0,2248,25,83
臺北市,中山區,中山里,0400006,柯文哲/吳欣盈,1037,賴清德/蕭美琴,1672,侯友宜/趙少康,1472,,0,,0,,0,,0,,0,,0,,0,459,787,9,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,459,0,0,7,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,459,0,0,5,32,36,9,16,3,1480,2,126,1439,16,26,942,0,25,5,9,0,4166,46,83
臺北市,中山區,中庄里,0400023,柯文哲/吳欣盈,699,賴清德/蕭美琴,1410,侯友宜/趙少康,985,,0,,0,,0,,0,,0,,0,,0,528,1077,6,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,528,0,0,7,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,528,0,0,5,19,36,10,18,7,1219,4,87,956,15,5,672,2,16,3,9,0,3078,32,83
臺北市,中山區,劍潭里,0400013,柯文哲/吳欣盈,482,賴清德/蕭美琴,421,侯友宜/趙少康,1307,,0,,0,,0,,0,,0,,0,,0,489,689,3,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,489,0,0,7,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,489,0,0,5,23,18,10,5,6,326,1,48,1293,5,23,419,0,15,2,2,0,2196,29,83
臺北市,中山區,力行里,0400039,柯文哲/吳欣盈,758,賴清德/蕭美琴,1639,侯友宜/趙少康,1333,,0,,0,,0,,0,,0,,0,,0,590,955,6,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,590,6,0,7,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,590,3,0,5,31,29,8,22,5,1440,1,112,1324,12,13,692,3,13,4,7,0,3716,28,83
臺北市,中山區,北安里,0400042,柯文哲/吳欣盈,323,賴清德/蕭美琴,547,侯友宜/趙少康,683,,0,,0,,0,,0,,0,,0,,0,513,816,4,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,513,7,0,7,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,513,2,0,5,11,16,3,5,2,459,0,44,680,5,21,291,0,8,1,2,0,1548,15,83
臺北市,中山區,圓山里,0400012,柯文哲/吳欣盈,587,賴清德/蕭美琴,1067,侯友宜/趙少康,842,,0,,0,,0,,0,,0,,0,,0,483,773,8,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,483,0,0,7,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,483,0,0,5,18,30,4,16,5,938,0,80,820,9,12,536,1,20,0,5,0,2494,21,83
