縣市,行政區別,鄰里,區域別代碼,總統候選人1,總統候選人1_得票數,總統候選人2,總統候選人2_得票數,總統候選人3,總統候選人3_得票數,總統候選人4,總統候選人4_得票數,總統候選人5,總統候選人5_得票數,總統候選人6,總統候選人6_得票數,總統候選人7,總統候選人7_得票數,總統候選人8,總統候選人8_得票數,總統候選人9,總統候選人9_得票數,總統候選人10,總統候選人10_得票數,總統候選人有效票數A,總統候選人無效票數B,總統候選人投票數C,總統候選人選舉人數G,區域立委候選人1＿候選人名稱,區域立委候選人1＿黨籍,區域立委候選人1_得票數,區域立委候選人2＿候選人名稱,區域立委候選人2＿黨籍,區域立委候選人2_得票數,區域立委候選人3＿候選人名稱,區域立委候選人3＿黨籍,區域立委候選人3_得票數,區域立委候選人4＿候選人名稱,區域立委候選人4＿黨籍,區域立委候選人4_得票數,區域立委候選人5＿候選人名稱,區域立委候選人5＿黨籍,區域立委候選人5_得票數,區域立委候選人6＿候選人名稱,區域立委候選人6＿黨籍,區域立委候選人6_得票數,區域立委候選人7＿候選人名稱,區域立委候選人7＿黨籍,區域立委候選人7_得票數,區域立委候選人8＿候選人名稱,區域立委候選人8＿黨籍,區域立委候選人8_得票數,區域立委候選人9＿候選人名稱,區域立委候選人9＿黨籍,區域立委候選人9_得票數,區域立委候選人10＿候選人名稱,區域立委候選人10＿黨籍,區域立委候選人10_得票數,區域立委候選人11＿候選人名稱,區域立委候選人11＿黨籍,區域立委候選人11_得票數,區域立委候選人12＿候選人名稱,區域立委候選人12＿黨籍,區域立委候選人12_得票數,區域立委有效票數A,區域立委無效票數B,區域立委投票數C,區域立委選舉人數G,"不分區政黨(1)

民主進步黨","不分區政黨(2)

親民黨","不分區政黨(3)

自由台灣黨","不分區政黨(4)

和平鴿聯盟黨","不分區政黨(5)

軍公教聯盟黨","不分區政黨(6)

民國黨","不分區政黨(7)

信心希望聯盟","不分區政黨(8)

中華統一促進黨","不分區政黨(9)

中國國民黨","不分區政黨(10)

台灣團結聯盟","不分區政黨(11)

時代力量","不分區政黨(12)

大愛憲改聯盟","不分區政黨(13)

綠黨社會民主黨聯盟","不分區政黨(14)

台灣獨立黨","不分區政黨(15)

無黨團結聯盟","不分區政黨(16)

新黨","不分區政黨(17)

健保免費連線","不分區政黨(18)

樹黨",不分區政黨有效票數A,不分區政黨無效票數B,不分區政黨投票數C,不分區政黨選舉人數G
臺北市,中山區,埤頭里,63000040037,朱立倫/王如玄,751,蔡英文/陳建仁,1090,宋楚瑜/徐欣瑩,179,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,12,蔣萬安,中國國民黨,884,潘建志,無黨籍,786,林新凱,無黨籍,9,趙燕傑,無黨籍,4,邱正浩,無黨籍,6,陳科引,無黨籍,12,李晏榕,無黨籍,246,李成嶽,無黨籍,3,黃麗香,無黨籍,6,,,0,,,0,0,0,0,0,824,105,2,1,0,19,40,10,579,48,119,3,82,1,2,160,2,16,0,0,0,0
臺北市,中山區,大佳里,63000040017,朱立倫/王如玄,117,蔡英文/陳建仁,457,宋楚瑜/徐欣瑩,56,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,2,蔣萬安,中國國民黨,190,潘建志,無黨籍,334,林新凱,無黨籍,4,趙燕傑,無黨籍,1,邱正浩,無黨籍,2,陳科引,無黨籍,2,李晏榕,無黨籍,81,李成嶽,無黨籍,0,黃麗香,無黨籍,1,,,0,,,0,0,0,0,0,385,31,0,2,1,8,7,1,110,11,30,0,16,2,1,17,1,6,0,0,0,0
臺北市,中山區,大直里,63000040014,朱立倫/王如玄,2274,蔡英文/陳建仁,2641,宋楚瑜/徐欣瑩,573,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,10,蔣萬安,中國國民黨,2669,潘建志,無黨籍,1951,林新凱,無黨籍,9,趙燕傑,無黨籍,6,邱正浩,無黨籍,7,陳科引,無黨籍,47,李晏榕,無黨籍,691,李成嶽,無黨籍,24,黃麗香,無黨籍,10,,,0,,,0,0,0,0,0,1935,298,5,10,37,55,147,22,1743,97,353,6,220,7,8,470,16,84,0,0,0,0
臺北市,中山區,康樂里,63000040005,朱立倫/王如玄,540,蔡英文/陳建仁,715,宋楚瑜/徐欣瑩,165,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,8,蔣萬安,中國國民黨,647,潘建志,無黨籍,516,林新凱,無黨籍,16,趙燕傑,無黨籍,0,邱正浩,無黨籍,6,陳科引,無黨籍,11,李晏榕,無黨籍,175,李成嶽,無黨籍,5,黃麗香,無黨籍,19,,,0,,,0,0,0,0,0,572,106,2,3,8,16,34,7,418,25,85,1,35,1,1,104,2,6,0,0,0,0
臺北市,中山區,復華里,63000040040,朱立倫/王如玄,1092,蔡英文/陳建仁,1273,宋楚瑜/徐欣瑩,284,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,5,蔣萬安,中國國民黨,1354,潘建志,無黨籍,919,林新凱,無黨籍,12,趙燕傑,無黨籍,5,邱正浩,無黨籍,2,陳科引,無黨籍,18,李晏榕,無黨籍,284,李成嶽,無黨籍,8,黃麗香,無黨籍,2,,,0,,,0,0,0,0,0,953,171,7,2,17,32,60,17,776,56,143,2,83,4,8,268,13,27,0,0,0,0
臺北市,中山區,恆安里,63000040010,朱立倫/王如玄,888,蔡英文/陳建仁,1395,宋楚瑜/徐欣瑩,258,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,9,蔣萬安,中國國民黨,1100,潘建志,無黨籍,971,林新凱,無黨籍,18,趙燕傑,無黨籍,7,邱正浩,無黨籍,6,陳科引,無黨籍,14,李晏榕,無黨籍,325,李成嶽,無黨籍,6,黃麗香,無黨籍,15,,,0,,,0,0,0,0,0,1033,147,9,6,11,42,68,12,687,58,166,3,93,4,14,155,14,19,0,0,0,0
臺北市,中山區,成功里,63000040015,朱立倫/王如玄,1285,蔡英文/陳建仁,1815,宋楚瑜/徐欣瑩,330,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,11,蔣萬安,中國國民黨,1547,潘建志,無黨籍,1286,林新凱,無黨籍,11,趙燕傑,無黨籍,3,邱正浩,無黨籍,7,陳科引,無黨籍,11,李晏榕,無黨籍,519,李成嶽,無黨籍,7,黃麗香,無黨籍,4,,,0,,,0,0,0,0,0,1407,208,3,1,11,41,96,7,964,56,223,3,125,3,7,287,2,27,0,0,0,0
臺北市,中山區,新喜里,63000040018,朱立倫/王如玄,894,蔡英文/陳建仁,1874,宋楚瑜/徐欣瑩,351,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,11,蔣萬安,中國國民黨,1206,潘建志,無黨籍,1392,林新凱,無黨籍,13,趙燕傑,無黨籍,3,邱正浩,無黨籍,11,陳科引,無黨籍,27,李晏榕,無黨籍,400,李成嶽,無黨籍,10,黃麗香,無黨籍,3,,,0,,,0,0,0,0,0,1450,198,9,4,15,30,42,12,738,76,226,3,99,6,9,154,9,31,0,0,0,0
臺北市,中山區,新庄里,63000040019,朱立倫/王如玄,920,蔡英文/陳建仁,1693,宋楚瑜/徐欣瑩,328,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,11,蔣萬安,中國國民黨,1153,潘建志,無黨籍,1289,林新凱,無黨籍,10,趙燕傑,無黨籍,6,邱正浩,無黨籍,12,陳科引,無黨籍,19,李晏榕,無黨籍,374,李成嶽,無黨籍,10,黃麗香,無黨籍,8,,,0,,,0,0,0,0,0,1339,157,7,4,13,27,69,15,745,60,174,2,91,3,14,178,6,28,0,0,0,0
臺北市,中山區,新生里,63000040022,朱立倫/王如玄,872,蔡英文/陳建仁,1790,宋楚瑜/徐欣瑩,294,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,7,蔣萬安,中國國民黨,1110,潘建志,無黨籍,1375,林新凱,無黨籍,12,趙燕傑,無黨籍,7,邱正浩,無黨籍,9,陳科引,無黨籍,16,李晏榕,無黨籍,353,李成嶽,無黨籍,6,黃麗香,無黨籍,6,,,0,,,0,0,0,0,0,1426,150,6,4,4,48,41,10,720,87,177,2,86,6,13,149,9,20,0,0,0,0
臺北市,中山區,新福里,63000040020,朱立倫/王如玄,785,蔡英文/陳建仁,1898,宋楚瑜/徐欣瑩,293,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,14,蔣萬安,中國國民黨,1032,潘建志,無黨籍,1445,林新凱,無黨籍,18,趙燕傑,無黨籍,6,邱正浩,無黨籍,4,陳科引,無黨籍,27,李晏榕,無黨籍,335,李成嶽,無黨籍,7,黃麗香,無黨籍,9,,,0,,,0,0,0,0,0,1472,177,10,2,8,39,41,10,698,78,202,0,75,7,5,107,8,26,0,0,0,0
臺北市,中山區,晴光里,63000040011,朱立倫/王如玄,1000,蔡英文/陳建仁,1505,宋楚瑜/徐欣瑩,337,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,5,蔣萬安,中國國民黨,1254,潘建志,無黨籍,1075,林新凱,無黨籍,17,趙燕傑,無黨籍,7,邱正浩,無黨籍,11,陳科引,無黨籍,19,李晏榕,無黨籍,373,李成嶽,無黨籍,5,黃麗香,無黨籍,7,,,0,,,0,0,0,0,0,1161,203,13,4,9,34,59,20,809,73,157,4,83,5,11,170,2,26,0,0,0,0
臺北市,中山區,朱園里,63000040036,朱立倫/王如玄,780,蔡英文/陳建仁,1495,宋楚瑜/徐欣瑩,260,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,7,蔣萬安,中國國民黨,978,潘建志,無黨籍,1064,林新凱,無黨籍,16,趙燕傑,無黨籍,5,邱正浩,無黨籍,6,陳科引,無黨籍,23,李晏榕,無黨籍,373,李成嶽,無黨籍,10,黃麗香,無黨籍,6,,,0,,,0,0,0,0,0,1143,130,9,2,7,36,65,7,614,65,160,2,105,3,5,161,4,20,0,0,0,0
臺北市,中山區,朱崙里,63000040038,朱立倫/王如玄,557,蔡英文/陳建仁,903,宋楚瑜/徐欣瑩,167,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,8,蔣萬安,中國國民黨,701,潘建志,無黨籍,630,林新凱,無黨籍,7,趙燕傑,無黨籍,2,邱正浩,無黨籍,2,陳科引,無黨籍,15,李晏榕,無黨籍,222,李成嶽,無黨籍,10,黃麗香,無黨籍,4,,,0,,,0,0,0,0,0,725,96,4,0,5,17,45,13,450,39,79,1,38,3,4,101,7,8,0,0,0,0
臺北市,中山區,朱馥里,63000040034,朱立倫/王如玄,1189,蔡英文/陳建仁,1777,宋楚瑜/徐欣瑩,346,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,9,蔣萬安,中國國民黨,1492,潘建志,無黨籍,1264,林新凱,無黨籍,11,趙燕傑,無黨籍,6,邱正浩,無黨籍,10,陳科引,無黨籍,34,李晏榕,無黨籍,435,李成嶽,無黨籍,12,黃麗香,無黨籍,10,,,0,,,0,0,0,0,0,1361,202,9,5,18,39,62,19,951,55,208,4,104,5,14,230,5,20,0,0,0,0
臺北市,中山區,松江里,63000040021,朱立倫/王如玄,1231,蔡英文/陳建仁,2268,宋楚瑜/徐欣瑩,380,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,10,蔣萬安,中國國民黨,1542,潘建志,無黨籍,1760,林新凱,無黨籍,23,趙燕傑,無黨籍,10,邱正浩,無黨籍,6,陳科引,無黨籍,40,李晏榕,無黨籍,425,李成嶽,無黨籍,9,黃麗香,無黨籍,9,,,0,,,0,0,0,0,0,1791,216,7,1,24,47,64,21,1008,87,238,3,123,4,5,190,10,37,0,0,0,0
臺北市,中山區,正守里,63000040001,朱立倫/王如玄,619,蔡英文/陳建仁,1027,宋楚瑜/徐欣瑩,197,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,10,蔣萬安,中國國民黨,778,潘建志,無黨籍,768,林新凱,無黨籍,7,趙燕傑,無黨籍,2,邱正浩,無黨籍,10,陳科引,無黨籍,19,李晏榕,無黨籍,228,李成嶽,無黨籍,2,黃麗香,無黨籍,4,,,0,,,0,0,0,0,0,787,98,5,1,9,23,37,9,478,42,136,4,51,5,4,144,5,9,0,0,0,0
臺北市,中山區,正得里,63000040003,朱立倫/王如玄,739,蔡英文/陳建仁,1098,宋楚瑜/徐欣瑩,218,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,5,蔣萬安,中國國民黨,928,潘建志,無黨籍,781,林新凱,無黨籍,12,趙燕傑,無黨籍,7,邱正浩,無黨籍,5,陳科引,無黨籍,17,李晏榕,無黨籍,235,李成嶽,無黨籍,6,黃麗香,無黨籍,3,,,0,,,0,0,0,0,0,823,107,3,2,4,22,32,14,600,43,128,3,77,5,6,162,4,14,0,0,0,0
臺北市,中山區,正義里,63000040002,朱立倫/王如玄,960,蔡英文/陳建仁,1436,宋楚瑜/徐欣瑩,348,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,10,蔣萬安,中國國民黨,1196,潘建志,無黨籍,993,林新凱,無黨籍,11,趙燕傑,無黨籍,10,邱正浩,無黨籍,8,陳科引,無黨籍,28,李晏榕,無黨籍,391,李成嶽,無黨籍,7,黃麗香,無黨籍,16,,,0,,,0,0,0,0,0,1090,180,7,5,7,32,59,22,761,60,177,5,98,4,5,180,17,25,0,0,0,0
臺北市,中山區,民安里,63000040004,朱立倫/王如玄,816,蔡英文/陳建仁,1585,宋楚瑜/徐欣瑩,278,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,7,蔣萬安,中國國民黨,1013,潘建志,無黨籍,1195,林新凱,無黨籍,15,趙燕傑,無黨籍,6,邱正浩,無黨籍,12,陳科引,無黨籍,21,李晏榕,無黨籍,346,李成嶽,無黨籍,7,黃麗香,無黨籍,13,,,0,,,0,0,0,0,0,1231,169,11,9,5,23,42,10,670,77,135,1,85,4,7,166,7,22,0,0,0,0
臺北市,中山區,永安里,63000040016,朱立倫/王如玄,1984,蔡英文/陳建仁,2722,宋楚瑜/徐欣瑩,517,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,8,蔣萬安,中國國民黨,2401,潘建志,無黨籍,1999,林新凱,無黨籍,10,趙燕傑,無黨籍,4,邱正浩,無黨籍,6,陳科引,無黨籍,21,李晏榕,無黨籍,720,李成嶽,無黨籍,23,黃麗香,無黨籍,13,,,0,,,0,0,0,0,0,2073,276,11,5,27,52,139,18,1531,102,323,5,207,10,15,423,7,32,0,0,0,0
臺北市,中山區,江寧里,63000040028,朱立倫/王如玄,1461,蔡英文/陳建仁,2172,宋楚瑜/徐欣瑩,377,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,9,蔣萬安,中國國民黨,1764,潘建志,無黨籍,1613,林新凱,無黨籍,14,趙燕傑,無黨籍,10,邱正浩,無黨籍,11,陳科引,無黨籍,20,李晏榕,無黨籍,489,李成嶽,無黨籍,4,黃麗香,無黨籍,13,,,0,,,0,0,0,0,0,1702,203,11,12,18,52,65,18,1065,95,221,3,133,5,5,343,14,38,0,0,0,0
臺北市,中山區,江山里,63000040029,朱立倫/王如玄,1404,蔡英文/陳建仁,2643,宋楚瑜/徐欣瑩,407,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,16,蔣萬安,中國國民黨,1739,潘建志,無黨籍,2039,林新凱,無黨籍,13,趙燕傑,無黨籍,8,邱正浩,無黨籍,12,陳科引,無黨籍,36,李晏榕,無黨籍,530,李成嶽,無黨籍,20,黃麗香,無黨籍,6,,,0,,,0,0,0,0,0,2055,221,14,4,25,41,89,15,1126,107,302,1,143,8,9,274,13,28,0,0,0,0
臺北市,中山區,聚盛里,63000040007,朱立倫/王如玄,802,蔡英文/陳建仁,1199,宋楚瑜/徐欣瑩,285,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,8,蔣萬安,中國國民黨,1014,潘建志,無黨籍,812,林新凱,無黨籍,19,趙燕傑,無黨籍,9,邱正浩,無黨籍,9,陳科引,無黨籍,18,李晏榕,無黨籍,292,李成嶽,無黨籍,14,黃麗香,無黨籍,19,,,0,,,0,0,0,0,0,905,171,10,3,18,33,50,16,447,43,126,3,71,6,9,154,4,14,0,0,0,0
臺北市,中山區,聚葉里,63000040009,朱立倫/王如玄,704,蔡英文/陳建仁,1202,宋楚瑜/徐欣瑩,254,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,8,蔣萬安,中國國民黨,872,潘建志,無黨籍,889,林新凱,無黨籍,16,趙燕傑,無黨籍,4,邱正浩,無黨籍,3,陳科引,無黨籍,11,李晏榕,無黨籍,272,李成嶽,無黨籍,12,黃麗香,無黨籍,24,,,0,,,0,0,0,0,0,937,154,4,0,16,23,33,6,568,53,127,3,74,2,5,123,6,21,0,0,0,0
臺北市,中山區,興亞里,63000040032,朱立倫/王如玄,983,蔡英文/陳建仁,1776,宋楚瑜/徐欣瑩,324,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,8,蔣萬安,中國國民黨,1286,潘建志,無黨籍,1276,林新凱,無黨籍,12,趙燕傑,無黨籍,8,邱正浩,無黨籍,7,陳科引,無黨籍,25,李晏榕,無黨籍,385,李成嶽,無黨籍,20,黃麗香,無黨籍,15,,,0,,,0,0,0,0,0,1358,160,6,3,22,33,67,21,807,84,179,2,93,3,9,195,5,33,0,0,0,0
臺北市,中山區,行仁里,63000040025,朱立倫/王如玄,1388,蔡英文/陳建仁,2901,宋楚瑜/徐欣瑩,498,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,18,蔣萬安,中國國民黨,1836,潘建志,無黨籍,2212,林新凱,無黨籍,14,趙燕傑,無黨籍,8,邱正浩,無黨籍,7,陳科引,無黨籍,36,李晏榕,無黨籍,565,李成嶽,無黨籍,10,黃麗香,無黨籍,18,,,0,,,0,0,0,0,0,2236,266,18,8,21,60,45,19,1204,157,348,4,121,9,14,197,13,33,0,0,0,0
臺北市,中山區,行孝里,63000040026,朱立倫/王如玄,663,蔡英文/陳建仁,1458,宋楚瑜/徐欣瑩,235,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,高士恩,無黨籍,12,蔣萬安,中國國民黨,887,潘建志,無黨籍,1064,林新凱,無黨籍,6,趙燕傑,無黨籍,3,邱正浩,無黨籍,2,陳科引,無黨籍,19,李晏榕,無黨籍,310,李成嶽,無黨籍,11,黃麗香,無黨籍,3,,,0,,,0,0,0,0,0,1148,141,5,5,9,30,36,14,546,69,128,1,74,7,3,113,12,11,0,0,0,0
