行政區別,村里別,何進雄 Kin Cian．Ri Pun,周駿宥,哈尼．噶照 Hani Kacaw,李正文,林正福,林玉芬,林資斌,督固．撒耘,笛布斯．顗賚,葉微琪,葉志豪,蔡依靜 Lamen．Panay,賴國祥 O‧Seng‧Kati,陳建忠,陳德仁,陳進德,何進雄 Kin Cian．Ri Pun_黨籍,周駿宥_黨籍,哈尼．噶照 Hani Kacaw_黨籍,李正文_黨籍,林正福_黨籍,林玉芬_黨籍,林資斌_黨籍,督固．撒耘_黨籍,笛布斯．顗賚_黨籍,葉微琪_黨籍,葉志豪_黨籍,蔡依靜 Lamen．Panay_黨籍,賴國祥 O‧Seng‧Kati_黨籍,陳建忠_黨籍,陳德仁_黨籍,陳進德_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
光復鄉,北富村,16.0,,,,88.0,,,,,,,142.0,682.0,,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,0,464,11,475,696,0,3,1
光復鄉,南富村,12.0,,,,68.0,,,,,,,152.0,642.0,,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,0,437,18,455,698,0,3,1
光復鄉,大全村,2.0,,,,54.0,,,,,,,254.0,50.0,,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,0,180,7,187,250,0,3,1
光復鄉,大同村,8.0,,,,60.0,,,,,,,272.0,110.0,,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,0,225,12,237,366,0,3,1
光復鄉,大安村,0.0,,,,6.0,,,,,,,36.0,20.0,,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,0,31,3,34,64,0,3,1
光復鄉,大富村,2.0,,,,4.0,,,,,,,26.0,4.0,,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,0,18,0,18,24,0,3,1
光復鄉,大平村,12.0,,,,74.0,,,,,,,688.0,74.0,,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,0,424,10,434,616,0,3,1
光復鄉,大興村,0.0,,,,22.0,,,,,,,136.0,74.0,,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,0,116,3,119,191,0,3,1
光復鄉,大華村,8.0,,,,46.0,,,,,,,290.0,74.0,,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,0,209,5,214,358,0,3,1
光復鄉,大豐村,4.0,,,,6.0,,,,,,,18.0,4.0,,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,0,16,2,18,22,0,3,1
