行政區別,村里別,余秀珠,吳香蘭Hisa‧Sakay,張文成,田韻馨,蘇忠亮,蘇正清,許淑銀Otiam  Cirig,陳長明,陳鶴章Salizan  Binkinuan,余秀珠_黨籍,吳香蘭Hisa‧Sakay_黨籍,張文成_黨籍,田韻馨_黨籍,蘇忠亮_黨籍,蘇正清_黨籍,許淑銀Otiam  Cirig_黨籍,陳長明_黨籍,陳鶴章Salizan  Binkinuan_黨籍
光復鄉,北富村,,4.0,,,,,,4.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,南富村,,4.0,,,,,,4.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,大全村,,0.0,,,,,,0.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,大同村,,4.0,,,,,,6.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,大安村,,6.0,,,,,,0.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,大富村,,2.0,,,,,,0.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,大平村,,4.0,,,,,,8.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,大興村,,6.0,,,,,,4.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,大華村,,6.0,,,,,,12.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,大豐村,,12.0,,,,,,8.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,大進村,,4.0,,,,,,2.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,大馬村,,10.0,,,,,,14.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,東富村,,4.0,,,,,,6.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,西富村,,4.0,,,,,,4.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
卓溪鄉,卓清村,40.0,,,,532.0,188.0,,,412.0,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
卓溪鄉,卓溪村,100.0,,,,322.0,142.0,,,266.0,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
卓溪鄉,古風村,58.0,,,,358.0,196.0,,,600.0,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
卓溪鄉,太平村,100.0,,,,258.0,174.0,,,410.0,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
卓溪鄉,崙山村,26.0,,,,278.0,314.0,,,84.0,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
卓溪鄉,立山村,24.0,,,,610.0,918.0,,,20.0,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
吉安鄉,仁和村,,,12.0,52.0,,,58.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
